text,created_at
"RT @CDCgov : Going out? When you hang out with friends, #WearAMask to help protect them from #COVID19 &amp; ask them to wear a mask to help protect you. This can help keep others healthy during the COVID-19 pandemic. Learn more: https://t.co/l3eipKB6If. #MaskingForAFriend #WorldMaskWeek https://t.co/7dXfVdGc1O",8/12/2020
Fact or Fiction? Nanotechnology can be used to mitigate emerging threats. Join us for the August 13th FDA Grand Rounds to find out. Register here! https://t.co/wvVuGUld0B https://t.co/8beDFFCjbk,8/12/2020
"RT @SteveFDA : FDA is working to protect Americans with celiac disease. We’ve taken a number of steps on this front, first by establishing a standardized definition of gluten-free &amp; now by continuing to work to ensure the products labeled with this claim are gluten-free. https://t.co/gNCXCgr3tB https://t.co/jSMob94kJL",8/12/2020
"RT @WhiteHouse : President @realDonaldTrump just announced that we've reached an agreement with Moderna to manufacture and deliver 100 million doses of their COVID-19 vaccine candidate!

There are now 3 vaccine candidates in Phase 3—the final stage of trials! https://t.co/NQoAPrpKQe",8/12/2020
The best way to prevent #COVID19 is to avoid being exposed to it. Wash your hands often with soap &amp; water; cover your mouth &amp; nose with a non-surgical mask when around others; avoid crowds &amp; practice social distancing. More tips: https://t.co/t3aOlTo7YJ,8/12/2020
"Protect your baby against 14 serious childhood diseases, like measles and whooping cough by staying up to date on vaccines. Learn more about vaccine-preventable diseases: https://t.co/mv4S3oNu73 #NationalImmunizationAwarenessMonth #NIAM https://t.co/ZNXjkJivMj",8/12/2020
"To date, the FDA has currently authorized 210 tests under EUAs; these include 171 molecular tests, 37 antibody tests, and 2 antigen tests.",8/11/2020
We issued Emergency Use Authorizations to Solaris Diagnostics for its molecular Solaris Multiplex SARS-CoV-2 Assay and Alpha Genomix Laboratories for its molecular Alpha Genomix TaqPath SARS-CoV-2 Combo Assay. https://t.co/7utYOlWRLE,8/11/2020
"FDA issued a warning letter to Soluciones Cosmetics, SA de CV for Bersih hand sanitizers, that are labeled to contain ethanol but tested positive for methanol contamination. https://t.co/tou0rxlLgE",8/11/2020
"A U.S. District Court granted motions for default judgment &amp; permanent injunctions against defendants for violating federal law by distributing their product “Miracle Mineral Solution,” an industrial bleach they claimed is a cure for #COVID19.",8/11/2020
We posted a new webpage with FAQs on the registration and listing of medical devices during #COVID19. https://t.co/0CvC5g4O2A,8/11/2020
"We posted a new webpage with FAQs on importing medical devices during the #COVID19 pandemic. The webpage includes content on importing respirators, face masks, and personal protective equipment; donating medical devices and more. https://t.co/4NHJIcQOFC",8/11/2020
FDA has taken more steps to protect public health during the #COVID19 pandemic. Read today’s Daily Roundup for a look at some of our latest activities. https://t.co/3znmN159Dm https://t.co/DIjTz9TVFD,8/11/2020
"RT @WhiteHouse : NEXT: President @realDonaldTrump will hold a news conference! 

Watch LIVE: https://t.co/EmsdctGWtd https://t.co/TVE9zisVCF",8/11/2020
RT @FDATobacco : ?? @FDATobacco Application Tips:  FDA recommends the following structure for PMTAs ?? https://t.co/dZXh1cZqWc,8/11/2020
"In addition to the Thomson International recall of red, white, yellow or sweet onions; recalls have also been initiated by companies that sold onions at Publix Supermarkets, Giant Eagle, Trader Joe’s, and Ralph’s. https://t.co/qRPFg7FPOW https://t.co/GGsUAzohfL",8/11/2020
"RT @FDATobacco : @FDATobacco’s Exchange Lab offers free print materials, web content, and social media posts to help keep communities informed about tobacco-related issues.

Learn more about how you can get free tobacco education materials. https://t.co/ybXJ181F9t https://t.co/4HeQn3wMej",8/11/2020
"August is #NationalWellnessMonth. In this PSA, disc jockey Casey Kasem discusses the rare disorder, #ReyesSyndrome, which usually occurs in children who have or have had a recent viral infection, such as chickenpox or the flu. #FDAhistory #TuesdayThoughts https://t.co/uYvw21mYgp",8/11/2020
"How much do you know about FDA's role in Digital Health? Find out more in this week's episode of #FDAInsight. Subscribe on your favorite app! 
Apple: https://t.co/il6HN07oAB 
Google: https://t.co/Yu1RNT9YBk 
Pandora: https://t.co/RWEelwcWtL 
Spotify: https://t.co/UoXdSoS65H",8/11/2020
"RT @CDCgov : Wondering how you can help keep your friends healthy this summer? Stay safe from #COVID19: Wash your hands, stay 6 feet apart, and #WearAMask.  Learn more about how you and your friends can help protect each other: https://t.co/l3eipKjvjF. #MaskingForAFriend #WorldMaskWeek https://t.co/czZC6J2oNi",8/11/2020
RT @FDAfood : There is currently no evidence of human or animal food or food packaging being associated with transmission of #COVID19. Learn how to protect yourself and your family while shopping for &amp; preparing food during the pandemic: https://t.co/w9VFIBJwWp,8/11/2020
"Thanks to the health care professionals who participated in today’s talk on the continuing #COVID19 challenge. We got questions on testing, diagnostics, therapeutics, a vaccine &amp; FDA’s regulatory authorities for #COVID19. Access Commissioner Hahn’s talk https://t.co/ZaZhgIqjof",8/10/2020
"To date, the FDA has currently authorized 208 tests under EUAs; these include 169 molecular tests, 37 antibody tests, and 2 antigen tests.",8/10/2020
FDA issued an emergency use authorization to George Washington University Public Health Laboratory for its GWU SARS-CoV-2 RT-PCR Test. Administration of this molecular test is limited to the George Washington University Public Health Laboratory. https://t.co/qPcuKu1yxa,8/10/2020
"To help ensure hand sanitizers produced under our temporary guidances do not have unsafe methanol levels, we clarified that companies test each lot of the active ingredient (ethanol or isopropyl alcohol) for methanol, if obtained from another source. https://t.co/36CGPRyzKu",8/10/2020
"We issued a warning letter to H-Lab Life, for selling “Multi-Use Spray” products with misleading claims they can mitigate, prevent, treat, diagnose, or cure COVID-19 in people. There are currently no FDA-approved products to prevent or treat COVID-19. https://t.co/Xyrnxmu5Lk",8/10/2020
FDA continues to help protect public health during #COVID19. Read about our latest activities regarding fraudulent products; hand sanitizers; and testing. https://t.co/zZmZfXR8vY https://t.co/H4qNhXJ4y5,8/10/2020
Join us for the August 13th FDA Grand Rounds that explores NCTR’s Nanotechnology endeavors. Register now! https://t.co/RDNIRjvsPf https://t.co/WuxwKdzt3F,8/10/2020
Are you pregnant or #breastfeeding and taking medications? Not all medicines may be safe. Here are tips to help you learn more about how prescription and over-the-counter medicines might affect you and your baby. https://t.co/871HNWUI6K #NationalBreastFeedingMonth #NBM20 https://t.co/8oRfKXEuUK,8/10/2020
"RT @CDCgov : Wondering when to use a mask? Wear a mask when you are in a public setting, especially when it is difficult stay 6 feet away from others not living in your household. Learn more at https://t.co/unpwzlB7xU. #WorldMaskWeek https://t.co/jDdjNuesvc",8/9/2020
"RT @CDCgov : Masks can help prevent the spread of #COVID19 when they are widely used in public. When you wear a mask, you can help protect those around you. When others wear one, they can help protect people around them, incl. you. https://t.co/jkWwZTfWSS #WearAMask #DoYourPart #WorldMaskWeek https://t.co/O7FckRf1ks",8/8/2020
We love your #cats as much as you do. That’s why we’re reminding you on #InternationalCatDay that lilies and #cats don’t mix. Lilies pose a serious health risk due to its toxicity specifically to #cats. https://t.co/3nCSEWV8sp https://t.co/miikoaLnnn,8/8/2020
"To date, the FDA has currently authorized 207 tests under EUAs; these include 168 molecular tests, 37 antibody tests, and 2 antigen tests.",8/7/2020
"We updated our Coronavirus Treatment Acceleration Program (CTAP) webpage with new metrics and FAQs. As of July 31, 570+ drug development programs are in the planning stages and 270+ trials have been reviewed by FDA. https://t.co/VYSgX9oADP",8/7/2020
FDA and @FTC jointly issued a warning letter to Canadian Chaga for selling fraudulent COVID-19-related products. There are currently no FDA-approved products to prevent or treat #COVID19.  https://t.co/q72rUbodwV,8/7/2020
"The FDA revoked the emergency use authorization (EUA) of Autobio Diagnostics Co., Ltd.’s Anti-SARS-CoV-2 Rapid Test. The EUA for the SARS-CoV-2 antibody test was revoked due to performance concerns with the accuracy of the test. https://t.co/EyjR6etcSU",8/7/2020
"In our ongoing response to #COVID19, we’ve taken new actions to help protect public health. Here’s a look at some of our most recent activities.  https://t.co/FLTUwPWQnR https://t.co/MvdcQIMNsx",8/7/2020
"RT @CDCDirector : #COVID19 affects us all and it will take all of us working together to stop it. Together, we are stronger and can achieve the possible! https://t.co/KDrqAWIgES #COVIDStopsWithMe https://t.co/eo3PzduJ2g",8/7/2020
"We want to remind consumers, retailers, and restaurants that if they cannot tell if onions are part of the recalls, or if products contain recalled onions, you should not eat, sell, or serve it, &amp; should throw it out.",8/7/2020
"FOOD OUTBREAK UPDATE: Thomson International recall incl. red, yellow, white &amp; sweet yellow onions sold under multiple brand names nationwide. Additional companies have recalled onions and products containing recalled onions. https://t.co/dwWIMXogn1 https://t.co/3J4ylsnZtj",8/7/2020
Are you prepared to care for your pets during the next possible #hurricane or #tropicalstorm? Buster and friends will tell you the 7 things you’ll need. https://t.co/ImDTTkd9Qv https://t.co/Wz1oQx7hiG,8/7/2020
"To date, the FDA has currently authorized 204 tests under EUAs; these include 167 molecular tests, 35 antibody tests, and 2 antigen tests.",8/6/2020
"Responding to concerns of insufficient supply and availability of disposable, single-use surgical masks, the FDA has issued an umbrella emergency use authorization for surgical masks. https://t.co/XbcnidY6Uh",8/6/2020
"The ventilator-related EUAs were issued to Lombardi Undersea for its Subsalve Oxygen Treatment Hood; VORTRAN Medical Technology 1, Inc., for its VORTRAN GO2VENT with PEEP Valve; and Nanotronics Imaging Inc., for its nHale device. https://t.co/JKxPJegb2X",8/6/2020
We issued 3 emergency use authorizations (EUAs) for ventilator-related devices.,8/6/2020
The FDA has taken more action to support health care during the #COVID pandemic. Here’s a look at some of our latest activities. https://t.co/hORo0ibbUO https://t.co/Ba2fp9LTYN,8/6/2020
We look forward to working with industry and other stakeholders to ensure a smooth transition to this modernized process.  https://t.co/ABe3rLMVNC,8/6/2020
"This replaces the rule-making process with a streamlined one intended to improve efficiency, timeliness and predictability, spurring OTC drug innovations that promote consumer choice! https://t.co/ABe3rLMVNC",8/6/2020
The CARES Act includes reform provisions granting the FDA new authorities to modernize over-the-counter drug development and review – get the details!  #FDAVoices https://t.co/ABe3rLMVNC,8/6/2020
"RT @FDATobacco : We’re hiring! Learn about the many types of opportunities available at @FDATobacco, our work culture, and the innovative ways that we recruit a diverse and qualified workforce ?? https://t.co/AZq4cTEFUf",8/6/2020
RT @DepSecHargan : Take simple daily precautions to help prevent the spread of respiratory illnesses like #COVID19. Learn more from @CDCgov on how to protect yourself from COVID-19: https://t.co/segjubzV17 https://t.co/g8MvFPmTBV,8/6/2020
Why does nanotechnology matter to the FDA? Register now at https://t.co/RDNIRjdRXH to find out. https://t.co/zZnNOOwiaK,8/6/2020
"RT @Surgeon_General : Swallowing hand sanitizers that contain methanol can cause permanent blindness or death, if not treated. People should immediately discontinue use of hand sanitizers recalled by @US_FDA. 

More in @CDCMMWR: https://t.co/OEmarwtLXD. https://t.co/p2YxJhBt6g",8/6/2020
"Had a positive #COVID19 test? Recovered? If you answered ‘yes’ to both of these, we need you to say ‘yes’ to a plasma donation. Your plasma has antibodies that may help others fight COVID. Visit https://t.co/i63VG1Yi9k and find a donation center near you. #ThursdayThoughts https://t.co/lBoIhVAkX5",8/6/2020
"To date, the FDA has currently authorized 203 tests under EUAs; these include 166 molecular tests, 35 antibody tests, and 2 antigen tests.",8/5/2020
"While neither company identified in the warning letters made claims about these products’ use by people, the FDA is concerned people may mistake, and have mistaken, unapproved chloroquine phosphate animal drugs for the human drug chloroquine phosphate. https://t.co/0qfIgEFoq9",8/5/2020
"We issued warning letters to New Life International &amp; to Fishman Chemical of North Carolina, LLC. Both companies distribute chloroquine phosphate products intended to treat disease in aquarium fish. https://t.co/hgvVy5xM3K",8/5/2020
The FDA continues to help protect public health during the #COVID19 pandemic. Read our newest Daily Roundup to learn about our latest activities. https://t.co/YOCJs29PYy https://t.co/r1MgPTgP0f,8/5/2020
Are you expecting? Check with your prenatal care provider to be sure you are up to date on your vaccines. https://t.co/99OEo6J8SL #NationalImmunizationAwarenessMonth #NIAM https://t.co/BmTrHSfPSw,8/5/2020
"RT @Surgeon_General : Are your kids up to date on their vaccinations? If the answer is no or that you’re not sure, call your pediatric health provider today to make a plan and schedule a catch-up appointment. #WellChildWednesday #ivax2protect https://t.co/eXP6JC8PFZ",8/5/2020
"RT @FDATobacco : FDA worked with Scholastic to develop lesson plans, infographics, and other resources for high schools and middle schools on the dangers of youth e-cigarette use. These materials are available online for virtual learning. Download the materials here: https://t.co/udTiU0MJCf https://t.co/YGubEhZCPu",8/5/2020
"To date, the FDA has currently authorized 203 tests under EUAs; these include 166 molecular tests, 35 antibody tests, and 2 antigen tests.",8/5/2020
"An EUA was also issued to Poplar Healthcare, for its Poplar SARS-CoV-2 TMA Pooling Assay diagnostic test.",8/5/2020
"We issued EUAs to Cleveland Clinic Robert J. Tomsich Pathology &amp; Laboratory Medicine Institute for Cleveland Clinic SARS-Co-V-2 Assay; Wren Laboratories, LLC for Wren Laboratories COVID-19 PCR Test; Ethos Laboratories for SARS-CoV-2 MALDI-TOF Assay. https://t.co/RL1OCcY31a",8/5/2020
"FDA issued an emergency use authorization (EUA) to Abiomed, Inc., for its Impella Left Ventricular (LV) Support Systems for #COVID19 patients undergoing extracorporeal membrane oxygenation. https://t.co/Dc9g3xqB3H",8/5/2020
FDA and @FTC jointly issued a warning letter to a company for selling fraudulent COVID-19-related products. There are currently no FDA-approved products to prevent or treat #COVID19. https://t.co/qI1eLpyX2g,8/5/2020
"To help health care facilities, providers, and ultimately patients, we updated our #COVID19 Drug Shortages Response webpage with information regarding in-use time for certain drugs during the pandemic. https://t.co/0I6Esam9XW",8/5/2020
The FDA continues to combat #COVID19. Here’s a look at some of our most recent actions to help protect consumers from fraudulent COVID-19 products and facilitate access to needed medical products. https://t.co/Gwg43eyGwC https://t.co/44QFYTOzLY,8/5/2020
"During a press conference in August 1962, President Kennedy discussed Dr. Frances Kelsey’s work on thalidomide and how her work influenced many changes within the FDA. Dr. Kelsey died August 7, 2015 but her legacy lives on. #FDAhistory #TuesdayThoughts https://t.co/i8BHoUgNK4",8/4/2020
"Our newest episode of #FDAInsight is live! Subscribe on your favorite app! 
Apple: https://t.co/yQ2FfaC9H7 
Google: https://t.co/bWEfQbqM76 
Pandora: https://t.co/5tYkCeMUtx 
Spotify: https://t.co/LmpK4aofxY https://t.co/QbkaGpzdDd",8/4/2020
Fact or Fiction? Nanotechnology can be used to mitigate emerging threats? Register here to find out: https://t.co/RDNIRjvsPf ! https://t.co/XKaXMUYU1z,8/4/2020
"To date, the FDA has currently authorized 198 tests under EUAs; these include 161 molecular tests, 35 antibody tests, and 2 antigen tests.",8/3/2020
We issued EUAs to Siemens for its ADVIA Centaur SARS-CoV-2 IgG (COV2G) and Atellica IM SARS-CoV-2 IgG (COV2G) tests.  They are the first #COVID19 serology tests that display an estimated quantity of antibodies present in an individual’s blood. https://t.co/RL1OCcY31a,8/3/2020
Here’s a look at some of the FDA’s latest actions in our ongoing response to the #COVID19 pandemic. https://t.co/mqYomptl05 https://t.co/wnlZdqLXSq,8/3/2020
"RT @CDCDirector : Wear your mask when you’re in public! Face masks are one of the most powerful weapons we have in the fight against #COVID19. Masks, combined with social distancing and frequent hand washing, are actions we can all take to help slow the spread. https://t.co/KDrqAWqFgi https://t.co/UilWdmRnxS",8/3/2020
"FOOD OUTBREAK UPDATE: Thomson International of Bakersfield, CA recalled all varieties of potentially contaminated onion due to the risk of cross contamination including red, yellow, white and sweet yellow onions. Investigation continues. https://t.co/dwWIMXogn1 https://t.co/inEYa0xwla",8/3/2020
We’re committed to doing our part to foster the adoption of advanced manufacturing technologies for the benefit of public health!  https://t.co/030iBhFm9t,8/3/2020
Advanced manufacturing provides an approach for protecting our supply chain and improving our response capacity during crisis situations. https://t.co/030iBhFm9t,8/3/2020
"For the past several years, FDA has sought to encourage and facilitate the adoption of Advanced Manufacturing: new and emerging approaches for the production of medical technologies #FDAVoices https://t.co/030iBhFm9t",8/3/2020
"Saturday may have been #NationalMustardDay, but using a healthier spread option is always appropriate. Trying mustard or hummus on your sandwich instead of mayonnaise can help you save calories.    https://t.co/KLzK9XOp0y https://t.co/wuGI7Wlk3Z",8/3/2020
"Happy #NationalBreastfeedingMonth. Stay plugged in to our social media platforms this month for tips, information and resources to help you on your #breastfeeding journey. https://t.co/T0sY3vovQe",8/3/2020
"Had a positive #COVID19 test? Recovered? If you answered ‘yes’ to both of these questions, we need you to say ‘yes’ to a plasma donation. Your plasma has antibodies that may help others fight COVID. Visit https://t.co/i63VG1Yi9k and find a donation center near you. https://t.co/nvxfWGGckO",8/2/2020
"RT @HHSGov : If you live in the path of Hurricane #Isaias, take these steps now to prepare and stay safe: https://t.co/uBG3lK33O8 #HurricaneIsaias https://t.co/DheFZeYqmj",8/2/2020
RT @HHSGov : Keep yourself and your loved ones safe! Follow these health and safety tips if you're affected by Hurricane #Isaias: https://t.co/iCVpYE3MA5 #HurricaneIsaias https://t.co/Tv66CheZv6,8/2/2020
"RT @CDCgov : Planning to visit the beach? Your risk of #COVID19 is highest if you are less than 6 feet from people at a crowded public beach or if you freely share your food, toys, or equipment. Practice social distancing &amp; other habits to stay healthy. https://t.co/tPbNintIwc https://t.co/CO8Dm4vmLl",8/2/2020
"RT @FDATobacco : August 1 is #WorldLungCancerDay.

Nearly 9 out of 10 lung cancers are caused by smoking. Learn how to be smoke-free at https://t.co/c7cvvd3ILP. https://t.co/95Vxm5HuKl",8/1/2020
"Federal health officials have been investigating a rapidly developing Salmonella Newport outbreak. Consumers, restaurants, and retailers should NOT EAT, sell, or serve red, white, yellow, or sweet onions from Thomson International. https://t.co/ihY6OF3hQa https://t.co/XMBB7Y19tb",8/1/2020
"If you have recovered from #COVID19, confirmed by a positive test, please donate plasma now. You can literally help save lives. There are thousands of locations across the country that have set up safe ways for you to donate. Find one at https://t.co/i63VG1Yi9k. https://t.co/qb1K34Tys7",8/1/2020
https://t.co/LGWpwjuqtJ https://t.co/ph0i9M5zNz,8/1/2020
An individual’s estimated quantity of antibodies should not be interpreted as an indication or degree of immunity or protection from reinfection because research is still ongoing and that information is unknown.,7/31/2020
"Remember, serology tests shouldn’t be used to diagnose an active infection (they only detect antibodies developed in response to the virus, not the virus itself). Patients shouldn't interpret results as telling them they’re immune or have any level of immunity from the virus.",7/31/2020
"Both tests from Siemens are “semi-quantitative” test, meaning that they don’t display a precise measurement, but instead display the estimated quantity of a patient’s antibodies produced in response to infection with the virus that causes COVID-19.",7/31/2020
"Today, FDA authorized the first #COVID19 serology tests that display an estimated quantity of antibodies present in an individual’s blood. https://t.co/80q6l8HktO https://t.co/FLHLoPSmdn",7/31/2020
"RT @Surgeon_General : If you're in the path of Hurricane #Isaias, don't wait until it's too late! These tips will help you get ready before the storm hits: https://t.co/MyM1rmGSV2 #HurricaneIsaias https://t.co/bdJ9BPYECv",7/31/2020
RT @FDA_Drug_Info : We continue to find issues with certain hand sanitizer products. Test results show certain products have concerningly low levels of the active ingredient ethyl alcohol or isopropyl alcohol. Do not to use these subpotent products: https://t.co/6JQFt3V8qL https://t.co/7W0KFrNh08,7/31/2020
"To date, FDA has currently authorized 194 tests under EUAs; these include 159 molecular tests, 33 antibody tests, and 2 antigen tests.",7/31/2020
"FDA &amp; FTC jointly issued a warning letter to Vapore, LLC dba Mypurmist for selling a product with misleading claims it can mitigate, prevent, treat, diagnose or cure #COVID19. There currently are no FDA-approved products to prevent or treat COVID-19. https://t.co/WRKDCx29jE",7/31/2020
FDA takes more action to protect consumers from fraudulent #COVID19 products and to help facilitate access to medical products needed during the pandemic. https://t.co/1isQNZE1g2 https://t.co/w8iqRIvRK1,7/31/2020
"This #NationalAvocadoDay, here are some fun safety tips:

?? Purchase avocados that aren’t bruised

?? Wash them thoroughly under running water before eating, cutting or cooking

?? Enjoy!

For more safe produce handling tips visit: https://t.co/I1g2y7SJfb https://t.co/hJMDD85D7x",7/31/2020
We worked w/ 4 manufacturers of certain per- &amp; polyfluoroalkyl substances (PFAS) to phase-out products after new data about chronic dietary exposure warrants further study. This balances uncertainty about potential risks while minimizing market disruptions https://t.co/5pCsLOKj5L https://t.co/7M7AnvIvKb,7/31/2020
"If you have recovered from #COVID19, confirmed by a positive test, you’re in a special position to help us fight the virus. Donate plasma now. Find a plasma donation center at https://t.co/i63VG1GGKK. https://t.co/GHshmeJhfw",7/31/2020
Join us for the August 13th FDA Grand Rounds that explores NCTR’s Nanotechnology endeavors. Register now! https://t.co/RDNIRjvsPf https://t.co/twNY8ohqHG,7/31/2020
"As the storm continues to head south east, remember to plan ahead for your pets so you are ready to care for them as well: https://t.co/sInhGZeWT1 https://t.co/Ekt2x2apqf",7/31/2020
"To date, the FDA has currently authorized 193 tests under EUAs; these include 158 molecular tests, 33 antibody tests, and 2 antigen tests.",7/30/2020
"FDA updated its FAQS on the EUA for Remdesivir for certain hospitalized #COVID19 patients. The FAQs note Gilead revised its fact sheets for health care providers &amp; patient &amp; parent/caregivers to incorporate use of the proprietary name, VEKLURY.  https://t.co/Q41Sx5sIdW",7/30/2020
"We posted FAQs for patients and consumers about antibody (serology) testing during the pandemic. A #COVID19 antibody test is a blood test that can detect if a person has antibodies to SARS-CoV-2, the virus that causes COVID-19. https://t.co/dHBSKfla53",7/30/2020
"We updated our webpage on food safety and #COVID19. It has a new Question and Answer for industry titled, “What do U.S. exporters of FDA-regulated food products need to consider related to COVID-19?” https://t.co/IoVf67uR6D",7/30/2020
"FDA’s latest actions in the #COVID19 pandemic include new FAQs on food safety, antibody testing and remdesivir. Read today’s Daily Roundup. https://t.co/60I7CYjsAw https://t.co/zm5e1T00X9",7/30/2020
NEWS RELEASE | The Nation’s Public Health Experts to America: Donate Plasma -- Read more at: https://t.co/yv2n56wl02 (via @HHSgov) https://t.co/zmysyB8Dvv,7/30/2020
"FDA has made a new protocol available for the development and registration of antimicrobial treatments for preharvest agricultural water, such as farm irrigation systems, which could provide farmers a useful tool to help protect the safety of produce. https://t.co/5bGgA58tqd https://t.co/lEdX6yf3XK",7/30/2020
https://t.co/etyVOykyIb,7/30/2020
FDA’s work in the field of nanotechnology helps build regulatory science knowledge &amp; supports science-based regulation of products containing nanomaterial to advance public health. Today’s report highlights our efforts in this field over the past decade. https://t.co/gwAqbJo1sU https://t.co/tIty77mlbr,7/30/2020
RT @WhiteHouse : LIVE: President @realDonaldTrump participates in a roundtable on donating plasma https://t.co/pMnAQKQJig,7/30/2020
"Deep brain stimulation (DBS) has proven to be a safe &amp; effective option for many people w/Parkinson’s. Today, FDA is sharing important safety info re: swimming for patients who’ve received DBS to consider &amp; discuss with their healthcare provider. https://t.co/CtnvSV9y4i",7/30/2020
"RT @FDAfood : Freshly squeezed juice can be so refreshing, especially in the summer! What’s not refreshing is bacteria transferred from raw produce to your juice: Learn how you can prevent food poisoning: https://t.co/ZgzzGEExQ5 https://t.co/nlHToZQCv2",7/30/2020
"FDA is closely monitoring the severe weather headed to the Southeast region. We want to remind those affected to have a plan in place for emergency medication, food and water, and medical supplies: https://t.co/rV8Q1xpbiI https://t.co/j2gMlvsr9v",7/30/2020
RT @FDA_Drug_Info : #ThursdayThoughts #HandSanitizer Quiz: Hand sanitizers that don’t have an expiration date should be considered expired after how many years? ???,7/30/2020
Are you a restaurant owner preparing to reopen your business? Help keep your food and customers safe by making sure you wear the appropriate face covering: https://t.co/vPdZHFKPeY https://t.co/IHdV1OOCxE,7/30/2020
"To date, the FDA has currently authorized 193 tests under EUAs; these include 158 molecular tests, 33 antibody tests, and 2 antigen tests.",7/29/2020
We posted a new template for commercial manufacturers to help facilitate preparation &amp; submission of EUA requests for prescription or non-prescription #COVID19 diagnostic tests that can be performed at home or in other non-lab settings such as schools. https://t.co/PoylHI6f79.,7/29/2020
"We updated the molecular diagnostic templates to help facilitate preparation &amp; submission of EUA requests. These updates are regarding diagnostic tests for use with sample pooling, at the point of care, &amp; for detection &amp; differentiation of SARS-CoV-2.   https://t.co/PoylHI6f79",7/29/2020
"In the FDA’s ongoing #COVID19 response, we continue to facilitate access to medical products needed during the #COVID19 pandemic. Read the Daily Roundup to see some of our latest actions. https://t.co/WuChrdvgVa https://t.co/EuUwKynXqw",7/29/2020
"Also, the template gives recommendations for validation of tests intended to be made available over-the-counter (without a prescription).",7/29/2020
"The template includes recommendations for validation of tests that collect, analyze, and return results without the need to send a sample to a lab for analysis.",7/29/2020
"Today we posted a new template to help commercial developers prepare &amp; submit EUA requests for #COVID19 diagnostic tests that can be performed at home or in other non-lab settings (e.g., offices or schools), with or without a prescription. https://t.co/TWx3HCQkIL https://t.co/d7JgFfd0pk",7/29/2020
You may have heard of the various emergency use authorizations (EUAs) recently issued by the FDA. Discover what EUA’s are all about and how they are used during public health emergencies. https://t.co/7sqAZoKoS9,7/29/2020
RT @FDAfood : Spending more time in your kitchen experimenting and whipping up new dishes? We have some practical tips that make cooking #healthy meals easy and fun: https://t.co/qXCATZ4s15 #nutrition https://t.co/bJlPcKnA7z,7/29/2020
"To date, the FDA has currently authorized 193 tests under EUAs; these include 158 molecular tests, 33 antibody tests, and 2 antigen tests.",7/28/2020
We issued emergency use authorizations for two molecular diagnostic tests for the qualitative detection of SARS-CoV-2 to Eli Lilly for Lilly SARS-CoV-2 Assay and Sandia National Laboratories for SNL-NM 2019 nCoV Real-Time RT-PCR Diagnostic Assay. https://t.co/WK4mEJvMvj,7/28/2020
"We posted a new episode of our podcast series, #FDAInsight hosted by @AnandShahFDA. Episode 6 features part 2 of a discussion on #COVID19 vaccines with @FDACBER director, Dr. Peter Marks. https://t.co/0NYpKdDACd",7/28/2020
FDA’s response to the #COVID19 pandemic is ongoing. Here’s a look at some of our most recent activities. https://t.co/xRihIDg6GJ https://t.co/oc4NDL6431,7/28/2020
"Over the years, there have been a lot of changes to the #foodlabel. In 1989, the FDA held nationwide public hearings to get guidance from consumers about exactly what they wanted to see on the food label. #FDAhistory #tuesdaythoughts https://t.co/w6aIIZSh97",7/28/2020
"We've posted an all-new episode of #FDAInsight. Today, we launch Part 2 of our series on #COVID19 vaccines with Dr. Peter Marks, @FDACBER director. LISTEN NOW ??: https://t.co/0NYpKdlZdD",7/28/2020
RT @FDA_Drug_Info : #TuesdayThoughts #HandSanitizer Quiz: True or False? Hand sanitizers have been proven to prevent #COVID19,7/28/2020
"While most hepatitis A infections are caused by close contact with an infected person, some are caused by consuming contaminated food or water. Learn how safe food handling and prep can help fight against this contagious virus. #WorldHepatitisDay https://t.co/I7ggngcGw2 https://t.co/ZlhG9fjE9I",7/28/2020
"The FDA approved an abbreviated new drug application, or generic, for heparin sodium, an anti-coagulant to prevent and treat blood clotting. https://t.co/NexxVXOPL1",7/27/2020
"To date, FDA has currently authorized 191 tests under EUAs; these include 156 molecular tests, 33 antibody tests, and 2 antigen tests.",7/27/2020
"We issued EUAs to two companies for serology-based tests for the qualitative detection and differentiation of IgG and IgM antibodies to SARS-CoV-2.
https://t.co/RL1OCdfDSI",7/27/2020
"We continue to warn consumers and health care professionals not to use certain alcohol-based hand sanitizers due to the dangerous presence of methanol. To help prevent these hand sanitizers from entering the U.S., we’ve placed them on an import alert. https://t.co/fXzRi5bgAO",7/27/2020
"We reissued the LabCorp COVID-19 RT-PCR Test emergency use authorization to include two new indications for use: testing for people who do not have #COVID19 symptoms or who have no reason to suspect COVID-19 infection, &amp; to allow pooled sample testing. https://t.co/wqqN0Od5kg",7/27/2020
FDA’s response to #COVID19 is ongoing. Here’s a look at some of our most recent actions. https://t.co/zVZae4gS5n https://t.co/WNkbbPnKpg,7/27/2020
"We continue to see rising cases of adverse events, including blindness, cardiac effects, effects on the central nervous system, and hospitalizations and death. FDA has a do-not-use list of dangerous hand sanitizer products, which is updated regularly. https://t.co/AcsuhiT0Gk",7/27/2020
"As part of these actions, we issued a warning letter to Eskbiochem S.A. de C.V. regarding product with undeclared methanol, unapproved claims–including incorrectly stating FDA approval—and improper manufacturing practices.",7/27/2020
"FDA has taken further action to help prevent these hand sanitizers from entering the U.S.  by placing them on an import alert, and we’re working with manufacturers to recall products &amp; encouraging retailers to remove products from store shelves &amp; online marketplaces.",7/27/2020
